id,Number of reported deaths from cholera,Cholera case fatality rate,WHO Region
489,319,0.91,Western Pacific
490,94,0.81,Western Pacific
491,1,0.17,Western Pacific
492,0,0,Western Pacific
493,5,0.78,Western Pacific
494,59,1.05,Western Pacific
495,89,1.22,Western Pacific
496,0,0,Western Pacific
497,0,0,Western Pacific
498,2,2.35,Western Pacific
499,0,0,Western Pacific
500,0,0,Western Pacific
501,24,6.25,Western Pacific
502,1,100,Western Pacific
503,0,0,Americas
504,0,0,Americas
505,7,1.58,Americas
506,32,2.12,Americas
507,70,1.58,Americas
508,35,1.82,Americas
509,14,1.41,Americas
510,0,0,Americas
511,158,1.04,Americas
512,207,1.73,Americas
513,0,0,Africa
514,29,1.86,Africa
515,0,0,Africa
516,0,0,Africa
517,0,0,Africa
518,0,0,Africa
519,46,2.94,Africa
520,4,1.77,Africa
521,91,2.76,Africa
522,42,3.56,Africa
523,68,0.93,Africa
524,1,20,Africa
525,238,8.9,Africa
526,2,13.3,Americas
527,221,13.61,Americas
528,37,3.13,Americas
529,,,Americas
530,0,0,Americas
531,4,2.56,Americas
532,133,1.71,Americas
533,10,5.71,Americas
534,0,0,Americas
535,2,22.22,Americas
536,20,0.42,Americas
537,22,0.68,Americas
538,60,21.82,Americas
539,0,0,Americas
540,14,27.45,Americas
541,0,0,Americas
542,1,5.26,Americas
543,0,0,Americas
544,0,0,Americas
545,0,0,Americas
546,0,0,Americas
547,6,3,Africa
548,12,5.1,Africa
549,2,3.57,Africa
550,19,4.48,Africa
551,24,1.9,Africa
552,0,0,Africa
553,2,40,Africa
554,1,14.29,Africa
555,1,12.5,Africa
556,15,3.62,Africa
557,6,0,Africa
558,9,8.57,Africa
559,50,4.84,Africa
560,143,3.41,Africa
561,305,5.16,Africa
562,22,1.64,Africa
563,184,3.69,Africa
564,55,4.96,Africa
565,42,5.8,Africa
566,7,18.92,Africa
567,116,19.21,Africa
568,0,0,Africa
569,0,0,Africa
570,9,1.35,Africa
571,39,4.49,Africa
572,0,0,Americas
573,0,0,Americas
574,0,0,Americas
575,3,0.72,Americas
576,,,Europe
577,1,25,Europe
578,,,Western Pacific
579,0,0,Western Pacific
580,759,2.7,Africa
581,276,1.4,Africa
582,372,1.7,Africa
583,491,1.82,Africa
